captured_at	value
2021-12-19T01:47:56.000Z	3200
2021-12-19T01:48:01.000Z	3100
2021-12-19T01:48:06.000Z	3300
2021-12-19T01:48:11.000Z	3400
2021-12-19T01:48:16.000Z	3300
2021-12-19T01:48:21.000Z	3500
2021-12-19T01:03:36.000Z	2600
2021-12-19T00:46:06.000Z	3400
2021-12-19T00:46:12.000Z	3700
2021-12-19T01:03:41.000Z	2400
2021-12-19T01:03:46.000Z	2600
2021-12-19T01:03:51.000Z	2700
2021-12-19T01:03:56.000Z	3300
2021-12-19T01:04:01.000Z	3100
2021-12-19T01:04:06.000Z	3100
2021-12-19T01:04:11.000Z	3100
2021-12-19T01:04:16.000Z	3800
2021-12-19T01:04:21.000Z	3800
2021-12-19T01:04:26.000Z	3600
2021-12-19T01:04:31.000Z	3600
2021-12-19T01:04:36.000Z	4300
2021-12-19T01:04:41.000Z	4700
2021-12-19T01:04:46.000Z	4500
2021-12-19T01:04:51.000Z	4400
2021-12-19T01:04:56.000Z	3900
2021-12-19T01:05:01.000Z	4000
2021-12-19T01:05:06.000Z	4200
2021-12-19T01:05:11.000Z	4000
2021-12-19T01:05:16.000Z	3400
2021-12-19T01:05:21.000Z	3600
2021-12-19T01:05:26.000Z	3900
2021-12-19T01:05:31.000Z	4000
2021-12-19T01:05:36.000Z	3300
2021-12-19T01:05:41.000Z	3000
2021-12-19T01:05:46.000Z	3000
2021-12-19T01:05:51.000Z	2900
2021-12-19T01:05:56.000Z	3000
2021-12-19T01:06:01.000Z	3000
2021-12-19T01:06:06.000Z	3000
2021-12-19T01:06:11.000Z	3000
2021-12-19T01:06:16.000Z	3100
2021-12-19T01:06:21.000Z	2900
2021-12-19T01:06:27.000Z	2700
2021-12-19T01:06:32.000Z	3100
2021-12-19T01:06:37.000Z	3100
2021-12-19T01:06:42.000Z	3000
2021-12-19T01:06:47.000Z	2800
2021-12-19T01:06:52.000Z	2900
2021-12-19T01:06:57.000Z	3200
2021-12-19T01:07:02.000Z	3900
2021-12-19T01:07:07.000Z	3700
2021-12-19T01:07:12.000Z	3900
2021-12-19T01:07:17.000Z	3800
2021-12-19T01:07:22.000Z	3700
2021-12-19T01:07:27.000Z	3600
2021-12-19T01:07:32.000Z	3300
2021-12-19T01:07:37.000Z	3200
2021-12-19T01:07:42.000Z	3300
2021-12-19T01:07:47.000Z	3500
2021-12-19T01:07:52.000Z	3600
2021-12-19T01:07:57.000Z	3200
2021-12-19T01:08:02.000Z	2600
2021-12-19T01:08:07.000Z	2700
2021-12-19T01:08:12.000Z	2900
2021-12-19T01:08:17.000Z	3100
2021-12-19T01:08:22.000Z	3300
2021-12-19T01:08:27.000Z	3100
2021-12-19T01:08:32.000Z	3000
2021-12-19T01:08:37.000Z	2900
2021-12-19T01:08:42.000Z	2800
2021-12-19T01:08:47.000Z	2700
2021-12-19T01:08:52.000Z	2500
2021-12-19T01:08:57.000Z	2900
2021-12-19T01:09:02.000Z	3000
2021-12-19T01:09:07.000Z	2900
2021-12-19T01:09:12.000Z	2700
2021-12-19T01:09:17.000Z	2500
2021-12-19T01:09:22.000Z	2500
2021-12-19T01:09:27.000Z	2500
2021-12-19T01:09:32.000Z	3000
2021-12-19T01:09:37.000Z	3300
2021-12-19T01:09:42.000Z	3200
2021-12-19T01:09:47.000Z	3600
2021-12-19T01:09:52.000Z	4000
2021-12-19T01:09:57.000Z	3600
2021-12-19T01:10:02.000Z	3500
2021-12-19T01:10:07.000Z	3500
2021-12-19T01:10:12.000Z	3800
2021-12-19T01:10:17.000Z	3800
2021-12-19T01:10:22.000Z	3900
2021-12-19T01:10:27.000Z	4000
2021-12-19T01:10:32.000Z	3800
2021-12-19T01:10:37.000Z	3700
2021-12-19T01:13:48.000Z	3300
2021-12-19T01:13:53.000Z	3400
2021-12-19T01:13:58.000Z	3600
2021-12-19T01:14:03.000Z	3800
2021-12-19T01:14:08.000Z	3800
2021-12-19T01:14:13.000Z	3800
2021-12-19T01:14:18.000Z	3500
2021-12-19T01:14:23.000Z	3100
2021-12-19T01:14:28.000Z	3100
2021-12-19T01:14:33.000Z	2700
2021-12-19T01:14:38.000Z	2700
2021-12-19T01:14:43.000Z	2900
2021-12-19T01:14:48.000Z	3100
2021-12-19T01:14:53.000Z	3200
2021-12-19T01:14:59.000Z	3100
2021-12-19T01:15:04.000Z	2600
2021-12-19T01:15:09.000Z	3000
2021-12-19T01:15:14.000Z	2900
2021-12-19T01:15:19.000Z	2900
2021-12-19T01:15:24.000Z	3400
2021-12-19T01:15:29.000Z	3100
2021-12-19T01:15:34.000Z	3400
2021-12-19T01:15:39.000Z	3500
2021-12-19T01:15:44.000Z	3400
2021-12-19T01:15:49.000Z	3400
2021-12-19T01:15:54.000Z	3200
2021-12-19T01:15:59.000Z	3000
2021-12-19T01:16:04.000Z	3200
2021-12-19T01:16:09.000Z	3400
2021-12-19T01:16:14.000Z	3100
2021-12-19T01:16:19.000Z	3400
2021-12-19T01:16:24.000Z	3300
2021-12-19T01:16:29.000Z	3400
2021-12-19T01:16:34.000Z	3200
2021-12-19T01:16:39.000Z	3100
2021-12-19T01:16:44.000Z	3000
2021-12-19T01:16:49.000Z	3000
2021-12-19T01:16:54.000Z	3300
2021-12-19T01:16:59.000Z	3300
2021-12-19T01:17:04.000Z	3200
2021-12-19T01:17:09.000Z	3000
